ensembl_gene_id	Gene	flygene	flygenename	soma_log2FC	neurite_log2FC	log2FC_LR_v1	pvalue_v1	minusdox_log2LR	plusdox_log2LR	log2FC_LR_v2	pvalue_v2	log2FC_LR_final	pvalue_final	pvalue.adjust	CLIPin3UTR
ENSMUSG00000021982	Cdadc1			 1.05e-01	 1.54e-01	 0.048782	 7.32e-01	 5.64e-02	 1.05e-01	 0.048782	 7.51e-01	 0.048782	 7.51e-01	 8.96e-01	no
ENSMUSG00000057572	Zbtb8os	FBgn0038893	Archease	 5.57e-02	 8.11e-02	 0.025469	 8.36e-01	 8.26e-01	 8.52e-01	 0.025469	 8.36e-01	 0.025469	 8.36e-01	 9.32e-01	no
ENSMUSG00000090523	Gypc			-2.02e-01	-3.93e-01	-0.190890	 2.19e-01	 1.76e-01	-1.43e-02	-0.190477	 1.88e-01	-0.190890	 2.19e-01	 5.10e-01	no
ENSMUSG00000048310	Pskh1			-2.30e-01	-1.44e-01	 0.085250	 3.95e-01	-1.94e-01	-1.09e-01	 0.085250	 4.32e-01	 0.085250	 4.32e-01	 7.05e-01	no
ENSMUSG00000038299	Wdr36	FBgn0038146	CG9799	 1.02e-02	 1.70e-01	 0.159809	 2.43e-02	 1.20e-01	 2.79e-01	 0.159899	 2.16e-02	 0.159809	 2.43e-02	 1.43e-01	no
ENSMUSG00000000759	Tubgcp3	FBgn0001612	Grip91	 7.57e-01	 8.13e-01	 0.055468	 4.89e-01	-7.36e-02	-1.80e-02	 0.055633	 4.82e-01	 0.055468	 4.89e-01	 7.48e-01	no
ENSMUSG00000041685	Fcho2			 2.98e-02	 7.53e-02	 0.045404	 6.17e-01	-6.34e-01	-5.89e-01	 0.045414	 6.31e-01	 0.045414	 6.31e-01	 8.31e-01	no
ENSMUSG00000041671	Pyroxd1	FBgn0032846	Pyroxd1	-2.93e-01	 2.18e-01	 0.511627	 1.54e-03	-3.59e-02	 4.75e-01	 0.511065	 5.44e-03	 0.511065	 5.44e-03	 5.49e-02	no
ENSMUSG00000028807	Zbtb8a			-2.14e-01	-7.07e-02	 0.143682	 3.04e-01	-5.98e-02	 8.40e-02	 0.143682	 3.09e-01	 0.143682	 3.09e-01	 6.02e-01	no
ENSMUSG00000022788	Fgd4			 5.46e-02	-1.24e-01	-0.179433	 2.36e-01	-3.37e-01	-5.16e-01	-0.178985	 2.16e-01	-0.179433	 2.36e-01	 5.30e-01	yes
ENSMUSG00000079638	Rhox2b			 2.37e-01	 1.88e-01	-0.049711	 7.16e-01	 6.96e-01	 6.46e-01	-0.049285	 6.97e-01	-0.049711	 7.16e-01	 8.79e-01	no
ENSMUSG00000029020	Mfn2	FBgn0011596	fzo	 1.12e-01	 1.24e-01	 0.011292	 8.66e-01	-2.01e-01	-1.89e-01	 0.011433	 8.67e-01	 0.011433	 8.67e-01	 9.46e-01	no
ENSMUSG00000029020	Mfn2	FBgn0029870	Marf	 1.12e-01	 1.24e-01	 0.011292	 8.66e-01	-2.01e-01	-1.89e-01	 0.011433	 8.67e-01	 0.011433	 8.67e-01	 9.46e-01	no
ENSMUSG00000024151	Msh2	FBgn0015546	spel1	 9.11e-01	 8.34e-01	-0.077355	 6.39e-01	 2.91e-01	 2.14e-01	-0.076866	 6.52e-01	-0.076866	 6.52e-01	 8.44e-01	no
ENSMUSG00000038128	Camk4			 5.90e-01	 4.21e-01	-0.169140	 3.97e-02	-7.97e-02	-2.49e-01	-0.168964	 5.04e-02	-0.168964	 5.04e-02	 2.21e-01	no
ENSMUSG00000040669	Phc1	FBgn0002441	l(3)mbt	-7.54e-02	-1.21e-01	-0.045591	 6.67e-01	-3.02e-01	-3.47e-01	-0.045591	 6.87e-01	-0.045591	 6.87e-01	 8.64e-01	no
ENSMUSG00000040669	Phc1	FBgn0032475	Sfmbt	-7.54e-02	-1.21e-01	-0.045591	 6.67e-01	-3.02e-01	-3.47e-01	-0.045591	 6.87e-01	-0.045591	 6.87e-01	 8.64e-01	no
ENSMUSG00000079637	Rhox2c			 1.64e-01	 4.21e-02	-0.122465	 4.51e-01	 6.23e-01	 5.01e-01	-0.122081	 3.97e-01	-0.122465	 4.51e-01	 7.20e-01	no
ENSMUSG00000057363	Uxs1	FBgn0035848	Uxs	-6.00e-02	 1.52e-01	 0.211508	 3.88e-02	 3.63e-02	 2.48e-01	 0.211438	 3.93e-02	 0.211438	 3.93e-02	 1.90e-01	no
ENSMUSG00000024378	Stard4	FBgn0035028	Start1	-3.35e-02	-8.80e-02	-0.054551	 4.41e-01	-6.16e-02	-1.16e-01	-0.054551	 4.34e-01	-0.054551	 4.41e-01	 7.12e-01	no
ENSMUSG00000027792	Bche	FBgn0000024	Ace	-1.24e-02	-1.50e-01	-0.138004	 2.64e-01	-9.96e-01	-1.13e+00	-0.137821	 2.60e-01	-0.138004	 2.64e-01	 5.58e-01	no
ENSMUSG00000034290	Nek9	FBgn0045980	niki	-1.41e-02	-1.13e-01	-0.099251	 1.98e-01	-1.10e-01	-2.09e-01	-0.099251	 2.37e-01	-0.099251	 2.37e-01	 5.31e-01	no
ENSMUSG00000027957	Slc35a3			-2.57e-01	-4.14e-01	-0.156239	 1.51e-01	-1.43e-01	-2.99e-01	-0.156475	 1.77e-01	-0.156475	 1.77e-01	 4.54e-01	no
ENSMUSG00000042834	Nrep			 1.51e-01	-1.12e-01	-0.263361	 7.76e-02	 8.76e-01	 6.13e-01	-0.263149	 4.99e-02	-0.263361	 7.76e-02	 2.82e-01	no
ENSMUSG00000025272	Tro	FBgn0037481	MAGE	 1.76e-01	 3.11e-01	 0.135676	 2.14e-01	-7.37e-01	-6.01e-01	 0.135706	 2.83e-01	 0.135706	 2.83e-01	 5.77e-01	no
ENSMUSG00000033004	Mycbp2			 1.41e-01	 4.27e-01	 0.286266	 7.57e-04	-9.56e-01	-6.70e-01	 0.286266	 2.00e-03	 0.286266	 2.00e-03	 2.76e-02	no
ENSMUSG00000070044	Fam149a			 1.94e-01	 5.34e-02	-0.140471	 6.47e-02	 3.52e-01	 2.11e-01	-0.140471	 5.52e-02	-0.140471	 6.47e-02	 2.54e-01	no
ENSMUSG00000021248	Tmed10	FBgn0045866	bai	-4.31e-01	-1.67e-01	 0.264324	 7.88e-04	-3.17e-03	 2.61e-01	 0.264340	 2.37e-05	 0.264324	 7.88e-04	 1.40e-02	no
ENSMUSG00000020079	Supv3l1	FBgn0037232	Suv3	 1.82e-01	 1.36e-01	-0.046250	 6.39e-01	-1.21e-01	-1.67e-01	-0.046278	 6.51e-01	-0.046278	 6.51e-01	 8.43e-01	no
ENSMUSG00000005370	Msh6	FBgn0036486	Msh6	 1.39e-01	 2.62e-01	 0.122586	 4.40e-01	-2.36e-02	 9.86e-02	 0.122474	 4.87e-01	 0.122474	 4.87e-01	 7.46e-01	no
ENSMUSG00000032350	Gclc	FBgn0040319	Gclc	 2.85e-01	 4.58e-01	 0.173046	 4.01e-02	-6.89e-02	 1.04e-01	 0.173046	 5.96e-02	 0.173046	 5.96e-02	 2.42e-01	no
ENSMUSG00000021371	Mcur1			-4.54e-01	-1.91e-01	 0.263142	 2.95e-02	-3.96e-01	-1.33e-01	 0.263146	 5.26e-02	 0.263146	 5.26e-02	 2.27e-01	no
ENSMUSG00000005371	Fbxo11	FBgn0037760	FBXO11	-8.05e-02	 2.07e-02	 0.101035	 4.10e-01	-4.07e-01	-3.06e-01	 0.101305	 4.50e-01	 0.101305	 4.50e-01	 7.19e-01	no
ENSMUSG00000021250	Fos	FBgn0028550	Atf3	 1.94e-01	 1.09e-01	-0.084680	 6.16e-01	 1.96e-01	 1.12e-01	-0.084331	 6.21e-01	-0.084331	 6.21e-01	 8.25e-01	no
ENSMUSG00000033021	Gmppa	FBgn0034035	CG8207	-2.91e-02	-6.05e-02	-0.031489	 7.51e-01	-1.20e-01	-1.51e-01	-0.031286	 7.53e-01	-0.031286	 7.53e-01	 8.97e-01	no
ENSMUSG00000031897	Psmb10	FBgn0010590	Prosbeta1	 7.27e-02	-1.67e-01	-0.239641	 1.86e-01	 8.89e-01	 6.49e-01	-0.240025	 1.80e-01	-0.239641	 1.86e-01	 4.67e-01	no
ENSMUSG00000034271	Jdp2	FBgn0028550	Atf3	 3.42e-01	 5.72e-02	-0.285315	 1.69e-01	 2.26e-01	-5.80e-02	-0.284378	 1.68e-01	-0.285315	 1.69e-01	 4.44e-01	no
ENSMUSG00000071064	Zfp827			 4.22e-01	 4.87e-01	 0.065090	 5.61e-01	-1.09e+00	-1.02e+00	 0.065572	 6.01e-01	 0.065572	 6.01e-01	 8.15e-01	yes
ENSMUSG00000040859	Bsdc1			 3.78e-01	 2.95e-01	-0.083634	 3.08e-01	-2.33e-01	-3.17e-01	-0.083509	 2.73e-01	-0.083634	 3.08e-01	 6.01e-01	no
ENSMUSG00000050891	Tatdn1	FBgn0033117	CG3358	 6.72e-02	 1.75e-03	-0.065576	 6.09e-01	 4.88e-01	 4.22e-01	-0.065309	 5.89e-01	-0.065576	 6.09e-01	 8.19e-01	no
ENSMUSG00000031376	Atp2b3	FBgn0266433	CG45063	-4.00e-01	-3.99e-01	 0.001101	 9.86e-01	-7.66e-01	-7.65e-01	 0.001101	 9.90e-01	 0.001101	 9.90e-01	 9.95e-01	yes
ENSMUSG00000031376	Atp2b3	FBgn0266432	CG45062	-4.00e-01	-3.99e-01	 0.001101	 9.86e-01	-7.66e-01	-7.65e-01	 0.001101	 9.90e-01	 0.001101	 9.90e-01	 9.95e-01	yes
ENSMUSG00000031376	Atp2b3	FBgn0052451	SPoCk	-4.00e-01	-3.99e-01	 0.001101	 9.86e-01	-7.66e-01	-7.65e-01	 0.001101	 9.90e-01	 0.001101	 9.90e-01	 9.95e-01	yes
ENSMUSG00000019055	Plod1	FBgn0036147	Plod	-5.37e-01	-6.51e-01	-0.113953	 2.37e-01	-2.25e-01	-3.39e-01	-0.113953	 2.43e-01	-0.113953	 2.43e-01	 5.39e-01	no
ENSMUSG00000032349	Elovl5	FBgn0052072	Elo68alpha	-1.05e-01	 1.75e-01	 0.279730	 1.35e-03	-4.45e-01	-1.65e-01	 0.279730	 5.85e-04	 0.279730	 1.35e-03	 2.10e-02	no
ENSMUSG00000032349	Elovl5	FBgn0036128	Elo68beta	-1.05e-01	 1.75e-01	 0.279730	 1.35e-03	-4.45e-01	-1.65e-01	 0.279730	 5.85e-04	 0.279730	 1.35e-03	 2.10e-02	no
ENSMUSG00000020571	Pdia6	FBgn0025678	CaBP1	-4.20e-01	-3.00e-01	 0.119704	 1.53e-01	 3.90e-02	 1.59e-01	 0.119802	 1.61e-01	 0.119802	 1.61e-01	 4.32e-01	no
ENSMUSG00000033400	Agl	FBgn0034618	CG9485	-2.28e-01	-1.98e-01	 0.029206	 7.77e-01	-5.99e-01	-5.70e-01	 0.029206	 7.89e-01	 0.029206	 7.89e-01	 9.14e-01	no
ENSMUSG00000036181	H1f2			 9.36e-01	 1.12e+00	 0.185727	 1.80e-01	 1.67e-01	 3.53e-01	 0.186325	 1.87e-01	 0.186325	 1.87e-01	 4.68e-01	no
ENSMUSG00000031996	Aplp2	FBgn0000108	Appl	-3.12e-01	-5.44e-02	 0.257627	 5.92e-04	-4.88e-01	-2.31e-01	 0.257684	 1.03e-03	 0.257684	 1.03e-03	 1.74e-02	yes
ENSMUSG00000044496	2510039O18Rik	FBgn0031379	CG7289	-4.18e-01	-4.44e-01	-0.025561	 7.72e-01	-6.12e-02	-8.68e-02	-0.025561	 7.67e-01	-0.025561	 7.72e-01	 9.06e-01	no
ENSMUSG00000022354	Ndufb9	FBgn0032511	ND-B22	 8.93e-02	-1.69e-01	-0.257899	 9.63e-04	 1.47e+00	 1.22e+00	-0.257825	 3.26e-04	-0.257899	 9.63e-04	 1.64e-02	no
ENSMUSG00000009470	Tnpo1	FBgn0035693	CG8219	 1.76e-01	 1.81e-01	 0.004976	 9.45e-01	-3.65e-01	-3.60e-01	 0.004976	 9.49e-01	 0.004976	 9.49e-01	 9.79e-01	yes
ENSMUSG00000029863	Casp2	FBgn0026404	Dronc	 2.56e-01	 4.78e-01	 0.222139	 3.31e-02	-3.83e-01	-1.61e-01	 0.222382	 4.18e-02	 0.222382	 4.18e-02	 1.99e-01	no
ENSMUSG00000029863	Casp2	FBgn0028381	Decay	 2.56e-01	 4.78e-01	 0.222139	 3.31e-02	-3.83e-01	-1.61e-01	 0.222382	 4.18e-02	 0.222382	 4.18e-02	 1.99e-01	no
ENSMUSG00000034998	Foxn2			-1.62e-01	-2.36e-01	-0.074226	 6.52e-01	 3.20e-02	-4.22e-02	-0.074226	 6.72e-01	-0.074226	 6.72e-01	 8.56e-01	no
ENSMUSG00000047945	Marcksl1			-1.53e-01	-2.25e-01	-0.072814	 2.70e-01	 5.20e-01	 4.47e-01	-0.072913	 2.82e-01	-0.072913	 2.82e-01	 5.76e-01	no
ENSMUSG00000021252	Erg28			-2.87e-01	-1.72e-01	 0.114862	 4.02e-01	 1.52e-01	 2.67e-01	 0.114855	 3.79e-01	 0.114862	 4.02e-01	 6.82e-01	no
ENSMUSG00000036208	Nepro			-1.88e-03	-1.02e-01	-0.100300	 3.41e-01	-1.53e-01	-2.54e-01	-0.100300	 3.68e-01	-0.100300	 3.68e-01	 6.53e-01	no
ENSMUSG00000025413	Ttc4	FBgn0266518	Dpit47	 1.84e-01	-1.18e-01	-0.302467	 1.97e-02	 1.23e-01	-1.80e-01	-0.302467	 2.57e-02	-0.302467	 2.57e-02	 1.47e-01	no
ENSMUSG00000095698	Rhox2d			-3.58e-02	-4.35e-02	-0.007824	 9.45e-01	 9.15e-01	 9.07e-01	-0.007728	 9.42e-01	-0.007824	 9.45e-01	 9.78e-01	no
ENSMUSG00000033007	Asic4	FBgn0039839	ppk24	 5.26e-01	 1.92e-01	-0.334095	 1.74e-02	 1.81e-01	-1.53e-01	-0.333761	 2.11e-02	-0.333761	 2.11e-02	 1.31e-01	no
ENSMUSG00000033007	Asic4	FBgn0051105	ppk22	 5.26e-01	 1.92e-01	-0.334095	 1.74e-02	 1.81e-01	-1.53e-01	-0.333761	 2.11e-02	-0.333761	 2.11e-02	 1.31e-01	no
ENSMUSG00000033007	Asic4	FBgn0034730	ppk12	 5.26e-01	 1.92e-01	-0.334095	 1.74e-02	 1.81e-01	-1.53e-01	-0.333761	 2.11e-02	-0.333761	 2.11e-02	 1.31e-01	no
ENSMUSG00000033007	Asic4	FBgn0053289	ppk5	 5.26e-01	 1.92e-01	-0.334095	 1.74e-02	 1.81e-01	-1.53e-01	-0.333761	 2.11e-02	-0.333761	 2.11e-02	 1.31e-01	no
ENSMUSG00000033007	Asic4	FBgn0030795	ppk28	 5.26e-01	 1.92e-01	-0.334095	 1.74e-02	 1.81e-01	-1.53e-01	-0.333761	 2.11e-02	-0.333761	 2.11e-02	 1.31e-01	no
ENSMUSG00000033007	Asic4	FBgn0052792	ppk8	 5.26e-01	 1.92e-01	-0.334095	 1.74e-02	 1.81e-01	-1.53e-01	-0.333761	 2.11e-02	-0.333761	 2.11e-02	 1.31e-01	no
ENSMUSG00000033007	Asic4	FBgn0032602	ppk17	 5.26e-01	 1.92e-01	-0.334095	 1.74e-02	 1.81e-01	-1.53e-01	-0.333761	 2.11e-02	-0.333761	 2.11e-02	 1.31e-01	no
ENSMUSG00000033007	Asic4	FBgn0034489	ppk6	 5.26e-01	 1.92e-01	-0.334095	 1.74e-02	 1.81e-01	-1.53e-01	-0.333761	 2.11e-02	-0.333761	 2.11e-02	 1.31e-01	no
ENSMUSG00000033007	Asic4	FBgn0024319	Nach	 5.26e-01	 1.92e-01	-0.334095	 1.74e-02	 1.81e-01	-1.53e-01	-0.333761	 2.11e-02	-0.333761	 2.11e-02	 1.31e-01	no
ENSMUSG00000033007	Asic4	FBgn0065108	ppk16	 5.26e-01	 1.92e-01	-0.334095	 1.74e-02	 1.81e-01	-1.53e-01	-0.333761	 2.11e-02	-0.333761	 2.11e-02	 1.31e-01	no
ENSMUSG00000033007	Asic4	FBgn0265001	ppk18	 5.26e-01	 1.92e-01	-0.334095	 1.74e-02	 1.81e-01	-1.53e-01	-0.333761	 2.11e-02	-0.333761	 2.11e-02	 1.31e-01	no
ENSMUSG00000033007	Asic4	FBgn0065109	ppk11	 5.26e-01	 1.92e-01	-0.334095	 1.74e-02	 1.81e-01	-1.53e-01	-0.333761	 2.11e-02	-0.333761	 2.11e-02	 1.31e-01	no
ENSMUSG00000033007	Asic4	FBgn0034965	ppk29	 5.26e-01	 1.92e-01	-0.334095	 1.74e-02	 1.81e-01	-1.53e-01	-0.333761	 2.11e-02	-0.333761	 2.11e-02	 1.31e-01	no
ENSMUSG00000033007	Asic4	FBgn0085398	ppk9	 5.26e-01	 1.92e-01	-0.334095	 1.74e-02	 1.81e-01	-1.53e-01	-0.333761	 2.11e-02	-0.333761	 2.11e-02	 1.31e-01	no
ENSMUSG00000031383	Dusp9			-3.42e-01	-3.06e-01	 0.035923	 8.16e-01	 3.27e-01	 3.63e-01	 0.035829	 8.02e-01	 0.035923	 8.16e-01	 9.23e-01	no
ENSMUSG00000020078	Vps26a			 4.92e-02	 2.74e-01	 0.224321	 8.34e-03	 2.72e-01	 4.96e-01	 0.224321	 1.36e-02	 0.224321	 1.36e-02	 9.94e-02	no
ENSMUSG00000031681	Smad1			 1.08e-01	 2.01e-03	-0.106129	 1.39e-01	-9.76e-02	-2.04e-01	-0.106129	 1.37e-01	-0.106129	 1.39e-01	 3.96e-01	no
ENSMUSG00000106128	Gm43520			-4.30e-01	-5.88e-03	 0.423619	 5.59e-02	-5.19e-01	-9.48e-02	 0.424556	 4.04e-02	 0.423619	 5.59e-02	 2.34e-01	no
ENSMUSG00000027835	Pdcd10	FBgn0038331	Ccm3	-5.45e-02	 8.83e-02	 0.142929	 1.87e-01	 3.00e-01	 4.43e-01	 0.142929	 1.87e-01	 0.142929	 1.87e-01	 4.69e-01	no
ENSMUSG00000023994	Nfya	FBgn0035993	Nf-YA	 1.13e-01	 3.47e-02	-0.078390	 3.38e-01	-2.80e-01	-3.58e-01	-0.078390	 3.48e-01	-0.078390	 3.48e-01	 6.37e-01	yes
ENSMUSG00000022668	Gtpbp8			-2.01e-01	 9.60e-02	 0.297693	 2.58e-02	 2.42e-01	 5.40e-01	 0.297383	 3.79e-02	 0.297383	 3.79e-02	 1.87e-01	no
ENSMUSG00000031441	Atp11a	FBgn0030746	CG9981	-8.76e-03	 7.30e-02	 0.081765	 6.97e-01	-1.25e+00	-1.17e+00	 0.081765	 7.78e-01	 0.081765	 7.78e-01	 9.07e-01	yes
ENSMUSG00000031441	Atp11a	FBgn0030747	CG4301	-8.76e-03	 7.30e-02	 0.081765	 6.97e-01	-1.25e+00	-1.17e+00	 0.081765	 7.78e-01	 0.081765	 7.78e-01	 9.07e-01	yes
ENSMUSG00000031441	Atp11a	FBgn0051729	CG31729	-8.76e-03	 7.30e-02	 0.081765	 6.97e-01	-1.25e+00	-1.17e+00	 0.081765	 7.78e-01	 0.081765	 7.78e-01	 9.07e-01	yes
ENSMUSG00000096788	Rhox2e			-2.44e-01	-3.89e-01	-0.145321	 3.78e-01	 6.85e-01	 5.40e-01	-0.145188	 3.43e-01	-0.145321	 3.78e-01	 6.63e-01	no
ENSMUSG00000114797	Gm49336	FBgn0038722	Nup58	-4.44e-03	 5.12e-02	 0.055676	 5.04e-01	 1.55e-01	 2.10e-01	 0.055676	 5.39e-01	 0.055676	 5.39e-01	 7.78e-01	no
ENSMUSG00000031239	Itm2a	FBgn0031285	CG3662	-1.41e+00	-1.13e+00	 0.281223	 5.27e-02	-4.74e-02	 2.34e-01	 0.280721	 4.95e-02	 0.281223	 5.27e-02	 2.27e-01	no
ENSMUSG00000028800	Hdac1			 2.03e-01	 1.21e-01	-0.081917	 3.20e-01	 1.56e-01	 7.40e-02	-0.081871	 3.23e-01	-0.081871	 3.23e-01	 6.13e-01	no
ENSMUSG00000052798	Nup107	FBgn0027868	Nup107	 6.47e-01	 8.73e-01	 0.225447	 9.05e-03	-9.41e-03	 2.16e-01	 0.225447	 1.33e-02	 0.225447	 1.33e-02	 9.87e-02	yes
ENSMUSG00000024926	Kat5	FBgn0033015	d4	 1.03e-02	 1.96e-01	 0.185871	 7.30e-02	-1.57e-02	 1.70e-01	 0.185871	 8.42e-02	 0.185871	 8.42e-02	 2.96e-01	no
ENSMUSG00000024926	Kat5	FBgn0030502	tth	 1.03e-02	 1.96e-01	 0.185871	 7.30e-02	-1.57e-02	 1.70e-01	 0.185871	 8.42e-02	 0.185871	 8.42e-02	 2.96e-01	no
ENSMUSG00000095741	Rhox2f			 2.99e-02	 2.02e-01	 0.172194	 3.12e-01	 5.27e-01	 6.99e-01	 0.172194	 2.95e-01	 0.172194	 3.12e-01	 6.04e-01	no
ENSMUSG00000050010	Shisa3			-4.93e-01	-5.63e-01	-0.070147	 5.09e-01	 5.17e-02	-1.82e-02	-0.069969	 4.84e-01	-0.070147	 5.09e-01	 7.60e-01	no
ENSMUSG00000021650	Ptcd2			-8.18e-01	-1.16e+00	-0.344700	 9.71e-03	 3.88e-01	 4.34e-02	-0.345015	 9.24e-03	-0.344700	 9.71e-03	 8.14e-02	no
ENSMUSG00000079629	Rhox2g			-7.43e-03	-4.19e-01	-0.411502	 2.22e-02	 1.15e+00	 7.34e-01	-0.411680	 1.28e-02	-0.411502	 2.22e-02	 1.36e-01	no
ENSMUSG00000062353	Gm15772			 2.45e-01	-6.23e-02	-0.307297	 5.31e-05	 1.68e+00	 1.37e+00	-0.307297	 1.34e-04	-0.307297	 1.34e-04	 3.76e-03	no
ENSMUSG00000022960	Donson	FBgn0086695	hd	 5.10e-01	 3.75e-01	-0.134485	 3.55e-01	-1.28e-01	-2.63e-01	-0.134395	 4.00e-01	-0.134395	 4.00e-01	 6.80e-01	no
ENSMUSG00000022148	Fyb			-1.08e-01	-1.84e-01	-0.076559	 6.94e-01	 9.74e-01	 8.97e-01	-0.076848	 6.74e-01	-0.076559	 6.94e-01	 8.67e-01	no
ENSMUSG00000061458	Nol10	FBgn0261535	l(2)34Fd	 2.84e-02	 7.69e-02	 0.048437	 5.78e-01	-2.94e-01	-2.45e-01	 0.048621	 5.90e-01	 0.048621	 5.90e-01	 8.09e-01	no
ENSMUSG00000017765	Slc12a4	FBgn0032689	CG10413	 6.84e-02	-1.08e-01	-0.176080	 5.49e-02	-7.56e-01	-9.32e-01	-0.176080	 7.48e-02	-0.176080	 7.48e-02	 2.76e-01	no
ENSMUSG00000017765	Slc12a4	FBgn0036279	Ncc69	 6.84e-02	-1.08e-01	-0.176080	 5.49e-02	-7.56e-01	-9.32e-01	-0.176080	 7.48e-02	-0.176080	 7.48e-02	 2.76e-01	no
ENSMUSG00000017765	Slc12a4	FBgn0261794	kcc	 6.84e-02	-1.08e-01	-0.176080	 5.49e-02	-7.56e-01	-9.32e-01	-0.176080	 7.48e-02	-0.176080	 7.48e-02	 2.76e-01	no
ENSMUSG00000061024	Rrs1	FBgn0052409	CG32409	 7.88e-02	 9.66e-02	 0.017798	 8.30e-01	 2.78e-01	 2.96e-01	 0.017798	 8.27e-01	 0.017798	 8.30e-01	 9.29e-01	yes
ENSMUSG00000039542	Ncam1			 8.26e-01	 6.52e-01	-0.173935	 5.77e-02	-8.55e-01	-1.03e+00	-0.173792	 1.02e-01	-0.173792	 1.02e-01	 3.29e-01	yes
ENSMUSG00000026374	Tsn	FBgn0033528	trsn	-3.78e-01	-3.32e-01	 0.045211	 6.02e-01	 4.50e-01	 4.96e-01	 0.045211	 5.96e-01	 0.045211	 6.02e-01	 8.15e-01	yes
ENSMUSG00000038582	Pptc7	FBgn0029949	CG15035	 4.99e-03	 6.42e-02	 0.059104	 5.38e-01	-2.53e-01	-1.94e-01	 0.059104	 5.54e-01	 0.059104	 5.54e-01	 7.89e-01	no
ENSMUSG00000038582	Pptc7	FBgn0035228	CG12091	 4.99e-03	 6.42e-02	 0.059104	 5.38e-01	-2.53e-01	-1.94e-01	 0.059104	 5.54e-01	 0.059104	 5.54e-01	 7.89e-01	no
ENSMUSG00000000409	Lck			 2.18e-01	 5.54e-01	 0.336212	 8.56e-03	 1.36e-01	 4.73e-01	 0.336212	 9.50e-03	 0.336212	 9.50e-03	 8.02e-02	no
ENSMUSG00000041632	Mrps27	FBgn0025336	CG4882	 3.68e-01	 3.13e-01	-0.055293	 5.55e-01	 2.89e-01	 2.34e-01	-0.055293	 5.63e-01	-0.055293	 5.63e-01	 7.94e-01	no
ENSMUSG00000030243	Recql			 1.66e+00	 1.68e+00	 0.026172	 8.71e-01	-1.82e-01	-1.56e-01	 0.027002	 8.99e-01	 0.027002	 8.99e-01	 9.60e-01	no
ENSMUSG00000026377	Nifk			 9.54e-02	 1.24e-01	 0.028527	 7.26e-01	 5.73e-01	 6.02e-01	 0.028527	 7.36e-01	 0.028527	 7.36e-01	 8.89e-01	no
ENSMUSG00000040818	Dennd6a	FBgn0029756	CG3309	-1.27e-01	-2.92e-02	 0.097415	 3.86e-01	-2.70e-01	-1.72e-01	 0.097662	 4.14e-01	 0.097662	 4.14e-01	 6.93e-01	yes
ENSMUSG00000031242	2610002M06Rik	FBgn0036805	Chmp1	 4.23e-02	-6.65e-02	-0.108894	 3.57e-01	 4.58e-02	-6.31e-02	-0.108756	 3.43e-01	-0.108894	 3.57e-01	 6.44e-01	no
ENSMUSG00000022353	Mtss1	FBgn0053558	mim	 1.90e-01	-1.12e-02	-0.201306	 7.42e-03	-5.89e-01	-7.90e-01	-0.201408	 1.62e-02	-0.201408	 1.62e-02	 1.12e-01	no
ENSMUSG00000011179	Odc1	FBgn0013308	Odc2	-9.16e-02	-4.45e-02	 0.047181	 5.34e-01	 3.69e-01	 4.16e-01	 0.047112	 5.61e-01	 0.047112	 5.61e-01	 7.93e-01	no
ENSMUSG00000011179	Odc1	FBgn0013307	Odc1	-9.16e-02	-4.45e-02	 0.047181	 5.34e-01	 3.69e-01	 4.16e-01	 0.047112	 5.61e-01	 0.047112	 5.61e-01	 7.93e-01	no
ENSMUSG00000052727	Map1b			-2.88e-01	-7.72e-01	-0.484302	 2.01e-05	-1.35e-01	-6.19e-01	-0.484281	 2.54e-04	-0.484281	 2.54e-04	 5.98e-03	yes
ENSMUSG00000001785	Pwp1	FBgn0263510	nclb	-2.24e-01	-5.29e-02	 0.171316	 5.90e-02	 2.72e-01	 4.44e-01	 0.171119	 5.93e-02	 0.171119	 5.93e-02	 2.42e-01	no
ENSMUSG00000079627	Rhox2h			-1.65e-01	-7.17e-02	 0.093770	 4.27e-01	 7.97e-01	 8.91e-01	 0.093590	 3.88e-01	 0.093770	 4.27e-01	 7.01e-01	no
ENSMUSG00000028798	Eif3i	FBgn0015834	eIF3i	 3.16e-01	 3.16e-01	-0.000320	 9.95e-01	 9.48e-01	 9.48e-01	-0.000320	 9.95e-01	-0.000320	 9.95e-01	 9.98e-01	no
ENSMUSG00000058443	Rpl10-ps3	FBgn0024733	RpL10	 3.54e-02	-9.75e-02	-0.132916	 7.83e-02	 1.35e+00	 1.22e+00	-0.132916	 6.61e-02	-0.132916	 7.83e-02	 2.84e-01	no
ENSMUSG00000038518	Jarid2	FBgn0036004	Jarid2	 2.37e-01	 2.92e-01	 0.055677	 5.32e-01	-7.53e-01	-6.97e-01	 0.055677	 5.41e-01	 0.055677	 5.41e-01	 7.80e-01	no
ENSMUSG00000005871	Apc	FBgn0015589	Apc	-2.52e-01	 2.50e-01	 0.502013	 1.84e-03	 2.65e+00	 3.15e+00	 0.502000	 2.85e-02	 0.502000	 2.85e-02	 1.57e-01	yes
ENSMUSG00000005871	Apc	FBgn0026598	Apc2	-2.52e-01	 2.50e-01	 0.502013	 1.84e-03	 2.65e+00	 3.15e+00	 0.502000	 2.85e-02	 0.502000	 2.85e-02	 1.57e-01	yes
