pathways_name_level0,gene_secondary_identifier,gene_symbol,pathways_identifier_level1,pathways_name_level1,datasets_name,gene_primary_identifier
Signal Transduction,CG1412,RhoGAP19D,R-DME-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Reactome pathways data set,FBgn0031118
Drosophila signaling pathways,CG14167,Ilp3,R-DME-110526,Insulin receptor mediated signaling,Reactome pathways data set,FBgn0044050
Metabolism,CG1417,slgA,R-DME-71291,Metabolism of amino acids and derivatives,Reactome pathways data set,FBgn0003423
Drosophila signaling pathways,CG14173,Ilp1,R-DME-110526,Insulin receptor mediated signaling,Reactome pathways data set,FBgn0044051
Vesicle-mediated transport,CG14181,Use1,R-DME-199991,Membrane Trafficking,Reactome pathways data set,FBgn0035965
Autophagy,CG14184,Lamtor1,R-DME-1632852,Macroautophagy,Reactome pathways data set,FBgn0036932
Signal Transduction,CG14184,Lamtor1,R-DME-165159,MTOR signalling,Reactome pathways data set,FBgn0036932
Immune System,CG14184,Lamtor1,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0036932
Cellular responses to stimuli,CG14184,Lamtor1,R-DME-2262752,Cellular responses to stress,Reactome pathways data set,FBgn0036932
Gene expression (Transcription),CG14184,Lamtor1,R-DME-73857,RNA Polymerase II Transcription,Reactome pathways data set,FBgn0036932
Signal Transduction,CG14184,Lamtor1,R-DME-9006925,Intracellular signaling by second messengers,Reactome pathways data set,FBgn0036932
Signal Transduction,CG14184,Lamtor1,R-DME-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Reactome pathways data set,FBgn0036932
Metabolism,CG14195,CG14195,R-DME-1428517,The citric acid (TCA) cycle and respiratory electron transport,Reactome pathways data set,FBgn0030998
Hemostasis,CG14195,CG14195,R-DME-202733,Cell surface interactions at the vascular wall,Reactome pathways data set,FBgn0030998
Transport of small molecules,CG14195,CG14195,R-DME-425407,SLC-mediated transmembrane transport,Reactome pathways data set,FBgn0030998
Drug ADME,CG14195,CG14195,R-DME-9749641,Aspirin ADME,Reactome pathways data set,FBgn0030998
Metabolism of RNA,CG1420,Slu7,R-DME-72203,Processing of Capped Intron-Containing Pre-mRNA,Reactome pathways data set,FBgn0039626
Gene expression (Transcription),CG1420,Slu7,R-DME-73857,RNA Polymerase II Transcription,Reactome pathways data set,FBgn0039626
Metabolism of proteins,CG14206,RpS10b,R-DME-72766,Translation,Reactome pathways data set,FBgn0285947
Metabolism of RNA,CG14206,RpS10b,R-DME-927802,Nonsense-Mediated Decay (NMD),Reactome pathways data set,FBgn0285947
Cellular responses to stimuli,CG14207,CG14207,R-DME-2262752,Cellular responses to stress,Reactome pathways data set,FBgn0031037
Metabolism,CG14212,CG14212,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0031045
Protein localization,CG14214,Sec61gamma,R-DME-9609523,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,Reactome pathways data set,FBgn0031049
Cell Cycle,CG14215,Elys,R-DME-69278,"Cell Cycle, Mitotic",Reactome pathways data set,FBgn0031052
Gene expression (Transcription),CG14216,Ssu72,R-DME-73857,RNA Polymerase II Transcription,Reactome pathways data set,FBgn0031054
Signal Transduction,CG14217,Tao,R-DME-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Reactome pathways data set,FBgn0031030
Vesicle-mediated transport,CG1422,p115,R-DME-199991,Membrane Trafficking,Reactome pathways data set,FBgn0040087
Metabolism of proteins,CG1422,p115,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0040087
Chromatin organization,CG14220,CG14220,R-DME-3247509,Chromatin modifying enzymes,Reactome pathways data set,FBgn0031036
Metabolism of proteins,CG14220,CG14220,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0031036
Vesicle-mediated transport,CG14224,Ubqn,R-DME-199991,Membrane Trafficking,Reactome pathways data set,FBgn0031057
Immune System,CG14226,dome,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0043903
Drosophila signaling pathways,CG14226,dome,R-DME-209405,JAK/STAT pathway,Reactome pathways data set,FBgn0043903
Immune System,CG14228,Mer,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0086384
Signal Transduction,CG14228,Mer,R-DME-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Reactome pathways data set,FBgn0086384
Metabolism,CG14235,COX6B,R-DME-1428517,The citric acid (TCA) cycle and respiratory electron transport,Reactome pathways data set,FBgn0031066
Cellular responses to stimuli,CG14235,COX6B,R-DME-2262752,Cellular responses to stress,Reactome pathways data set,FBgn0031066
Gene expression (Transcription),CG14235,COX6B,R-DME-73857,RNA Polymerase II Transcription,Reactome pathways data set,FBgn0031066
Transport of small molecules,CG14239,ppk15,R-DME-983712,Ion channel transport,Reactome pathways data set,FBgn0039424
Metabolism of proteins,CG14283,mRpL55,R-DME-72766,Translation,Reactome pathways data set,FBgn0038678
Developmental Biology,CG1429,Mef2,R-DME-525793,Myogenesis,Reactome pathways data set,FBgn0011656
Metabolism,CG14291,Sgsh,R-DME-71387,Metabolism of carbohydrates,Reactome pathways data set,FBgn0038660
Vesicle-mediated transport,CG14296,EndoA,R-DME-199991,Membrane Trafficking,Reactome pathways data set,FBgn0038659
Signal Transduction,CG14296,EndoA,R-DME-9006934,Signaling by Receptor Tyrosine Kinases,Reactome pathways data set,FBgn0038659
Developmental Biology,CG14296,EndoA,R-DME-9675108,Nervous system development,Reactome pathways data set,FBgn0038659
Immune System,CG14309,CG14309,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0038611
Metabolism,CG14309,CG14309,R-DME-71387,Metabolism of carbohydrates,Reactome pathways data set,FBgn0038611
Signal Transduction,CG1433,Atu,R-DME-195721,Signaling by WNT,Reactome pathways data set,FBgn0019637
Metabolism of proteins,CG1433,Atu,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0019637
Gene expression (Transcription),CG1433,Atu,R-DME-73857,RNA Polymerase II Transcription,Reactome pathways data set,FBgn0019637
Hemostasis,CG14351,haf,R-DME-76002,"Platelet activation, signaling and aggregation",Reactome pathways data set,FBgn0261509
Metabolism,CG1438,Cyp4c3,R-DME-211859,Biological oxidations,Reactome pathways data set,FBgn0015032
Metabolism,CG1438,Cyp4c3,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0015032
Immune System,CG1440,CG1440,R-DME-1280218,Adaptive Immune System,Reactome pathways data set,FBgn0030038
Metabolism,CG14407,CG14407,R-DME-1362409,Mitochondrial iron-sulfur cluster biogenesis,Reactome pathways data set,FBgn0030584
Metabolism,CG14411,CG14411,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0030582
Metabolism of proteins,CG14413,mRpS25,R-DME-72766,Translation,Reactome pathways data set,FBgn0030572
Immune System,CG14435,CG14435,R-DME-1280218,Adaptive Immune System,Reactome pathways data set,FBgn0029911
Metabolism,CG1444,spidey,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0029975
Immune System,CG14442,CG14442,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0029893
Immune System,CG14444,APC7,R-DME-1280218,Adaptive Immune System,Reactome pathways data set,FBgn0029879
Cellular responses to stimuli,CG14444,APC7,R-DME-2262752,Cellular responses to stress,Reactome pathways data set,FBgn0029879
DNA Replication,CG14444,APC7,R-DME-69002,DNA Replication Pre-Initiation,Reactome pathways data set,FBgn0029879
DNA Replication,CG14444,APC7,R-DME-69239,Synthesis of DNA,Reactome pathways data set,FBgn0029879
Cell Cycle,CG14444,APC7,R-DME-69278,"Cell Cycle, Mitotic",Reactome pathways data set,FBgn0029879
Cell Cycle,CG14444,APC7,R-DME-69620,Cell Cycle Checkpoints,Reactome pathways data set,FBgn0029879
Metabolism of proteins,CG14446,dtn,R-DME-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),Reactome pathways data set,FBgn0262730
Metabolism of proteins,CG14446,dtn,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0262730
Neuronal System,CG14447,Grip,R-DME-112315,Transmission across Chemical Synapses,Reactome pathways data set,FBgn0029830
Immune System,CG14447,Grip,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0029830
Neuronal System,CG14447,Grip,R-DME-6794362,Protein-protein interactions at synapses,Reactome pathways data set,FBgn0029830
Signal Transduction,CG14447,Grip,R-DME-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Reactome pathways data set,FBgn0029830
Metabolism of proteins,CG14463,PIG-H,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0037535
Immune System,CG14472,poe,R-DME-1280218,Adaptive Immune System,Reactome pathways data set,FBgn0011230
Immune System,CG14472,poe,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0011230
Hemostasis,CG14485,swi2,R-DME-76002,"Platelet activation, signaling and aggregation",Reactome pathways data set,FBgn0034262
Gene expression (Transcription),CG1449,zfh2,R-DME-73857,RNA Polymerase II Transcription,Reactome pathways data set,FBgn0004607
Programmed Cell Death,CG1451,Apc,R-DME-109581,Apoptosis,Reactome pathways data set,FBgn0015589
Signal Transduction,CG1451,Apc,R-DME-195721,Signaling by WNT,Reactome pathways data set,FBgn0015589
Drosophila signaling pathways,CG1451,Apc,R-DME-209392,Hedgehog pathway,Reactome pathways data set,FBgn0015589
Drosophila signaling pathways,CG1451,Apc,R-DME-209412,Wingless pathway,Reactome pathways data set,FBgn0015589
Drosophila signaling pathways,CG1451,Apc,R-DME-432626,Circadian Clock pathway,Reactome pathways data set,FBgn0015589
Metabolism of proteins,CG1451,Apc,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0015589
Metabolism of proteins,CG14512,Alg13,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0039639
Immune System,CG14516,superdeath,R-DME-1280218,Adaptive Immune System,Reactome pathways data set,FBgn0039640
Metabolism of proteins,CG14516,superdeath,R-DME-2980736,Peptide hormone metabolism,Reactome pathways data set,FBgn0039640
Immune System,CG14517,beta4GalNAcTB,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0039625
Metabolism of proteins,CG14517,beta4GalNAcTB,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0039625
Metabolism,CG14517,beta4GalNAcTB,R-DME-71387,Metabolism of carbohydrates,Reactome pathways data set,FBgn0039625
Signal Transduction,CG14521,DIP-gamma,R-DME-5683057,MAPK family signaling cascades,Reactome pathways data set,FBgn0039617
Developmental Biology,CG14521,DIP-gamma,R-DME-9675108,Nervous system development,Reactome pathways data set,FBgn0039617
Immune System,CG14523,Nepl19,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0039612
Metabolism of proteins,CG14523,Nepl19,R-DME-2980736,Peptide hormone metabolism,Reactome pathways data set,FBgn0039612
Immune System,CG14526,Nepl21,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0027578
Metabolism of proteins,CG14526,Nepl21,R-DME-2980736,Peptide hormone metabolism,Reactome pathways data set,FBgn0027578
Immune System,CG14527,Nepl20,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0039613
Metabolism of proteins,CG14527,Nepl20,R-DME-2980736,Peptide hormone metabolism,Reactome pathways data set,FBgn0039613
Immune System,CG14528,Nepl18,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0039611
Metabolism of proteins,CG14528,Nepl18,R-DME-2980736,Peptide hormone metabolism,Reactome pathways data set,FBgn0039611
Immune System,CG14529,Nepl17,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0039609
Metabolism of proteins,CG14529,Nepl17,R-DME-2980736,Peptide hormone metabolism,Reactome pathways data set,FBgn0039609
Vesicle-mediated transport,CG1453,Klp10A,R-DME-199991,Membrane Trafficking,Reactome pathways data set,FBgn0030268
Hemostasis,CG1453,Klp10A,R-DME-983231,Factors involved in megakaryocyte development and platelet production,Reactome pathways data set,FBgn0030268
Vesicle-mediated transport,CG14535,CG14535,R-DME-199991,Membrane Trafficking,Reactome pathways data set,FBgn0031955
Hemostasis,CG14535,CG14535,R-DME-983231,Factors involved in megakaryocyte development and platelet production,Reactome pathways data set,FBgn0031955
Autophagy,CG14542,Vps2,R-DME-1632852,Macroautophagy,Reactome pathways data set,FBgn0039402
Vesicle-mediated transport,CG14542,Vps2,R-DME-199991,Membrane Trafficking,Reactome pathways data set,FBgn0039402
Cell Cycle,CG14542,Vps2,R-DME-69278,"Cell Cycle, Mitotic",Reactome pathways data set,FBgn0039402
DNA Replication,CG14549,Sld5,R-DME-69239,Synthesis of DNA,Reactome pathways data set,FBgn0039403
Cell Cycle,CG14549,Sld5,R-DME-69278,"Cell Cycle, Mitotic",Reactome pathways data set,FBgn0039403
Immune System,CG1455,CanA1,R-DME-1280218,Adaptive Immune System,Reactome pathways data set,FBgn0010015
Immune System,CG1455,CanA1,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0010015
Signal Transduction,CG1455,CanA1,R-DME-195721,Signaling by WNT,Reactome pathways data set,FBgn0010015
Metabolism of proteins,CG14550,PIG-P,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0039405
Signal Transduction,CG14575,CapaR,R-DME-372790,Signaling by GPCR,Reactome pathways data set,FBgn0037100
Immune System,CG14577,ORMDL,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0037110
Metabolism,CG14577,ORMDL,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0037110
Neuronal System,CG14585,Ir75a,R-DME-112315,Transmission across Chemical Synapses,Reactome pathways data set,FBgn0036757
Vesicle-mediated transport,CG14585,Ir75a,R-DME-199991,Membrane Trafficking,Reactome pathways data set,FBgn0036757
Metabolism of proteins,CG14585,Ir75a,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0036757
Signal Transduction,CG14593,CCHa2-R,R-DME-372790,Signaling by GPCR,Reactome pathways data set,FBgn0033058
Transport of small molecules,CG14605,CG14605,R-DME-425407,SLC-mediated transmembrane transport,Reactome pathways data set,FBgn0037486
Transport of small molecules,CG14606,CG14606,R-DME-425407,SLC-mediated transmembrane transport,Reactome pathways data set,FBgn0037485
Metabolism,CG1461,Tat,R-DME-71291,Metabolism of amino acids and derivatives,Reactome pathways data set,FBgn0030558
Metabolism of proteins,CG14614,wap,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0266848
Metabolism,CG14616,l(1)G0196,R-DME-1483249,Inositol phosphate metabolism,Reactome pathways data set,FBgn0027279
Metabolism of proteins,CG14617,Cp110,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0031191
Signal Transduction,CG14617,Cp110,R-DME-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Reactome pathways data set,FBgn0031191
Metabolism of proteins,CG14619,Usp2,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0031187
Signal Transduction,CG14622,DAAM,R-DME-195721,Signaling by WNT,Reactome pathways data set,FBgn0025641
Drosophila signaling pathways,CG14622,DAAM,R-DME-350431,Planar Cell Polarity pathway,Reactome pathways data set,FBgn0025641
Signal Transduction,CG14622,DAAM,R-DME-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Reactome pathways data set,FBgn0025641
Immune System,CG14637,abs,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0015331
Gene expression (Transcription),CG1464,ey,R-DME-73857,RNA Polymerase II Transcription,Reactome pathways data set,FBgn0005558
Metabolism of RNA,CG14641,CG14641,R-DME-72203,Processing of Capped Intron-Containing Pre-mRNA,Reactome pathways data set,FBgn0037220
Protein localization,CG14666,Tim17a2,R-DME-1268020,Mitochondrial protein import,Reactome pathways data set,FBgn0037307
Vesicle-mediated transport,CG1467,Syx16,R-DME-199991,Membrane Trafficking,Reactome pathways data set,FBgn0031106
Cell Cycle,CG14685,Cap-H2,R-DME-69278,"Cell Cycle, Mitotic",Reactome pathways data set,FBgn0037831
Metabolism,CG14694,CG14694,R-DME-196854,Metabolism of vitamins and cofactors,Reactome pathways data set,FBgn0037845
Metabolism of proteins,CG14701,Dph3,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0037883
Autophagy,CG14709,Mrp4,R-DME-1632852,Macroautophagy,Reactome pathways data set,FBgn0263316
Vesicle-mediated transport,CG14709,Mrp4,R-DME-199991,Membrane Trafficking,Reactome pathways data set,FBgn0263316
Transport of small molecules,CG14709,Mrp4,R-DME-382556,ABC-family proteins mediated transport,Reactome pathways data set,FBgn0263316
Metabolism,CG1471,CDase,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0039774
Gene expression (Transcription),CG14712,CG14712,R-DME-211000,Gene Silencing by RNA,Reactome pathways data set,FBgn0037924
Cellular responses to stimuli,CG14712,CG14712,R-DME-2262752,Cellular responses to stress,Reactome pathways data set,FBgn0037924
Metabolism of proteins,CG14712,CG14712,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0037924
Cell Cycle,CG14712,CG14712,R-DME-69278,"Cell Cycle, Mitotic",Reactome pathways data set,FBgn0037924
Metabolism of RNA,CG14712,CG14712,R-DME-72203,Processing of Capped Intron-Containing Pre-mRNA,Reactome pathways data set,FBgn0037924
Immune System,CG14716,Ho,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0037933
Metabolism,CG14716,Ho,R-DME-189445,Metabolism of porphyrins,Reactome pathways data set,FBgn0037933
Cellular responses to stimuli,CG14716,Ho,R-DME-2262752,Cellular responses to stress,Reactome pathways data set,FBgn0037933
Transport of small molecules,CG14716,Ho,R-DME-917937,Iron uptake and transport,Reactome pathways data set,FBgn0037933
Protein localization,CG14716,Ho,R-DME-9609523,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,Reactome pathways data set,FBgn0037933
Signal Transduction,CG14716,Ho,R-DME-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Reactome pathways data set,FBgn0037933
Metabolism of RNA,CG14718,CG14718,R-DME-72203,Processing of Capped Intron-Containing Pre-mRNA,Reactome pathways data set,FBgn0037939
Vesicle-mediated transport,CG1472,Sec24AB,R-DME-199991,Membrane Trafficking,Reactome pathways data set,FBgn0033460
Metabolism of proteins,CG1472,Sec24AB,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0033460
Metabolism,CG14721,CG14721,R-DME-196854,Metabolism of vitamins and cofactors,Reactome pathways data set,FBgn0037942
Neuronal System,CG14723,HisCl1,R-DME-112315,Transmission across Chemical Synapses,Reactome pathways data set,FBgn0037950
Metabolism,CG14724,COX5A,R-DME-1428517,The citric acid (TCA) cycle and respiratory electron transport,Reactome pathways data set,FBgn0019624
Cellular responses to stimuli,CG14724,COX5A,R-DME-2262752,Cellular responses to stress,Reactome pathways data set,FBgn0019624
Gene expression (Transcription),CG14724,COX5A,R-DME-73857,RNA Polymerase II Transcription,Reactome pathways data set,FBgn0019624
Metabolism,CG14728,sad,R-DME-211859,Biological oxidations,Reactome pathways data set,FBgn0003312
Metabolism,CG14728,sad,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0003312
Metabolism of proteins,CG14739,CG14739,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0037987
Immune System,CG14741,ATP8B,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0037989
Transport of small molecules,CG14741,ATP8B,R-DME-983712,Ion channel transport,Reactome pathways data set,FBgn0037989
Metabolism of RNA,CG14749,Gle1,R-DME-72203,Processing of Capped Intron-Containing Pre-mRNA,Reactome pathways data set,FBgn0033316
Metabolism of proteins,CG1475,RpL13A,R-DME-72766,Translation,Reactome pathways data set,FBgn0037351
Metabolism of RNA,CG1475,RpL13A,R-DME-927802,Nonsense-Mediated Decay (NMD),Reactome pathways data set,FBgn0037351
Vesicle-mediated transport,CG14750,Vps25,R-DME-199991,Membrane Trafficking,Reactome pathways data set,FBgn0022027
Metabolism of proteins,CG14789,O-fut2,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0027791
Immune System,CG14791,Rab27,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0025382
Vesicle-mediated transport,CG14791,Rab27,R-DME-199991,Membrane Trafficking,Reactome pathways data set,FBgn0025382
Metabolism of proteins,CG14791,Rab27,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0025382
Hemostasis,CG14791,Rab27,R-DME-76002,"Platelet activation, signaling and aggregation",Reactome pathways data set,FBgn0025382
Metabolism of proteins,CG14792,sta,R-DME-72766,Translation,Reactome pathways data set,FBgn0003517
Metabolism of RNA,CG14792,sta,R-DME-927802,Nonsense-Mediated Decay (NMD),Reactome pathways data set,FBgn0003517
Signal Transduction,CG14804,Vps26,R-DME-195721,Signaling by WNT,Reactome pathways data set,FBgn0014411
Metabolism of RNA,CG14805,CG14805,R-DME-72312,rRNA processing,Reactome pathways data set,FBgn0023514
Autophagy,CG14812,Lamtor5,R-DME-1632852,Macroautophagy,Reactome pathways data set,FBgn0026090
Signal Transduction,CG14812,Lamtor5,R-DME-165159,MTOR signalling,Reactome pathways data set,FBgn0026090
Cellular responses to stimuli,CG14812,Lamtor5,R-DME-2262752,Cellular responses to stress,Reactome pathways data set,FBgn0026090
Gene expression (Transcription),CG14812,Lamtor5,R-DME-73857,RNA Polymerase II Transcription,Reactome pathways data set,FBgn0026090
Signal Transduction,CG14812,Lamtor5,R-DME-9006925,Intracellular signaling by second messengers,Reactome pathways data set,FBgn0026090
Vesicle-mediated transport,CG14813,deltaCOP,R-DME-199991,Membrane Trafficking,Reactome pathways data set,FBgn0028969
Metabolism of proteins,CG14813,deltaCOP,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0028969
Autophagy,CG14815,Pex5,R-DME-1632852,Macroautophagy,Reactome pathways data set,FBgn0023516
Metabolism of proteins,CG14815,Pex5,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0023516
Protein localization,CG14815,Pex5,R-DME-9033241,Peroxisomal protein import,Reactome pathways data set,FBgn0023516
Autophagy,CG14816,Pgam5,R-DME-1632852,Macroautophagy,Reactome pathways data set,FBgn0023517
Metabolism of proteins,CG14817,CG14817,R-DME-72766,Translation,Reactome pathways data set,FBgn0026089
Organelle biogenesis and maintenance,CG14825,BBS1,R-DME-5617833,Cilium Assembly,Reactome pathways data set,FBgn0035741
Neuronal System,CG14855,CG14855,R-DME-112315,Transmission across Chemical Synapses,Reactome pathways data set,FBgn0038260
Metabolism,CG14855,CG14855,R-DME-196854,Metabolism of vitamins and cofactors,Reactome pathways data set,FBgn0038260
Drug ADME,CG14855,CG14855,R-DME-2161522,Abacavir ADME,Reactome pathways data set,FBgn0038260
Transport of small molecules,CG14855,CG14855,R-DME-425407,SLC-mediated transmembrane transport,Reactome pathways data set,FBgn0038260
Metabolism,CG14855,CG14855,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0038260
Drug ADME,CG14855,CG14855,R-DME-9749641,Aspirin ADME,Reactome pathways data set,FBgn0038260
Neuronal System,CG14856,CG14856,R-DME-112315,Transmission across Chemical Synapses,Reactome pathways data set,FBgn0038261
Metabolism,CG14856,CG14856,R-DME-196854,Metabolism of vitamins and cofactors,Reactome pathways data set,FBgn0038261
Drug ADME,CG14856,CG14856,R-DME-2161522,Abacavir ADME,Reactome pathways data set,FBgn0038261
Transport of small molecules,CG14856,CG14856,R-DME-425407,SLC-mediated transmembrane transport,Reactome pathways data set,FBgn0038261
Metabolism,CG14856,CG14856,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0038261
Drug ADME,CG14856,CG14856,R-DME-9749641,Aspirin ADME,Reactome pathways data set,FBgn0038261
Neuronal System,CG14857,CG14857,R-DME-112315,Transmission across Chemical Synapses,Reactome pathways data set,FBgn0038262
Metabolism,CG14857,CG14857,R-DME-196854,Metabolism of vitamins and cofactors,Reactome pathways data set,FBgn0038262
Drug ADME,CG14857,CG14857,R-DME-2161522,Abacavir ADME,Reactome pathways data set,FBgn0038262
Transport of small molecules,CG14857,CG14857,R-DME-425407,SLC-mediated transmembrane transport,Reactome pathways data set,FBgn0038262
Metabolism,CG14857,CG14857,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0038262
Drug ADME,CG14857,CG14857,R-DME-9749641,Aspirin ADME,Reactome pathways data set,FBgn0038262
Metabolism,CG14865,l(3)neo43,R-DME-1428517,The citric acid (TCA) cycle and respiratory electron transport,Reactome pathways data set,FBgn0011476
Cellular responses to stimuli,CG14865,l(3)neo43,R-DME-2262752,Cellular responses to stress,Reactome pathways data set,FBgn0011476
Gene expression (Transcription),CG14865,l(3)neo43,R-DME-73857,RNA Polymerase II Transcription,Reactome pathways data set,FBgn0011476
Extracellular matrix organization,CG14869,AdamTS-A,R-DME-1474228,Degradation of the extracellular matrix,Reactome pathways data set,FBgn0286071
Metabolism of proteins,CG14869,AdamTS-A,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0286071
Signal Transduction,CG1487,krz,R-DME-195721,Signaling by WNT,Reactome pathways data set,FBgn0040206
Vesicle-mediated transport,CG1487,krz,R-DME-199991,Membrane Trafficking,Reactome pathways data set,FBgn0040206
Signal Transduction,CG1487,krz,R-DME-372790,Signaling by GPCR,Reactome pathways data set,FBgn0040206
Signal Transduction,CG1487,krz,R-DME-5683057,MAPK family signaling cascades,Reactome pathways data set,FBgn0040206
Metabolism of proteins,CG1487,krz,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0040206
Hemostasis,CG1487,krz,R-DME-76002,"Platelet activation, signaling and aggregation",Reactome pathways data set,FBgn0040206
Metabolism,CG1488,Cyp311a1,R-DME-211859,Biological oxidations,Reactome pathways data set,FBgn0030367
Metabolism,CG1488,Cyp311a1,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0030367
Metabolism,CG14881,CG14881,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0038425
Metabolism,CG14883,CG14883,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0038432
Vesicle-mediated transport,CG14884,CSN5,R-DME-199991,Membrane Trafficking,Reactome pathways data set,FBgn0027053
DNA Repair,CG14884,CSN5,R-DME-5696398,Nucleotide Excision Repair,Reactome pathways data set,FBgn0027053
Metabolism of proteins,CG14884,CSN5,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0027053
Metabolism,CG14887,Dhfr,R-DME-196854,Metabolism of vitamins and cofactors,Reactome pathways data set,FBgn0004087
Immune System,CG1489,Rpt6,R-DME-1280215,Cytokine Signaling in Immune system,Reactome pathways data set,FBgn0020369
Immune System,CG1489,Rpt6,R-DME-1280218,Adaptive Immune System,Reactome pathways data set,FBgn0020369
Immune System,CG1489,Rpt6,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0020369
Signal Transduction,CG1489,Rpt6,R-DME-195721,Signaling by WNT,Reactome pathways data set,FBgn0020369
Drosophila signaling pathways,CG1489,Rpt6,R-DME-209392,Hedgehog pathway,Reactome pathways data set,FBgn0020369
Drosophila signaling pathways,CG1489,Rpt6,R-DME-209412,Wingless pathway,Reactome pathways data set,FBgn0020369
Drosophila signaling pathways,CG1489,Rpt6,R-DME-209449,Toll pathway,Reactome pathways data set,FBgn0020369
Cellular responses to stimuli,CG1489,Rpt6,R-DME-2262752,Cellular responses to stress,Reactome pathways data set,FBgn0020369
Transport of small molecules,CG1489,Rpt6,R-DME-382556,ABC-family proteins mediated transport,Reactome pathways data set,FBgn0020369
Drosophila signaling pathways,CG1489,Rpt6,R-DME-432626,Circadian Clock pathway,Reactome pathways data set,FBgn0020369
Metabolism of RNA,CG1489,Rpt6,R-DME-450531,Regulation of mRNA stability by proteins that bind AU-rich elements,Reactome pathways data set,FBgn0020369
